Vernal Equinox;2001-03-20
Aestival Solstice;2001-06-21
Autumnal Equinox;2001-09-22
Brumal Solstice;2001-12-21
Vernal Equinox;2002-03-20
Aestival Solstice;2002-06-21
Autumnal Equinox;2002-09-23
Brumal Solstice;2002-12-22
Vernal Equinox;2003-03-21
Aestival Solstice;2003-06-21
Autumnal Equinox;2003-09-23
Brumal Solstice;2003-12-22
Vernal Equinox;2004-03-20
Aestival Solstice;2004-06-21
Autumnal Equinox;2004-09-22
Brumal Solstice;2004-12-21
Vernal Equinox;2005-03-20
Aestival Solstice;2005-06-21
Autumnal Equinox;2005-09-22
Brumal Solstice;2005-12-21
Vernal Equinox;2006-03-20
Aestival Solstice;2006-06-21
Autumnal Equinox;2006-09-23
Brumal Solstice;2006-12-22
Vernal Equinox;2007-03-21
Aestival Solstice;2007-06-21
Autumnal Equinox;2007-09-23
Brumal Solstice;2007-12-22
Vernal Equinox;2008-03-20
Aestival Solstice;2008-06-21
Autumnal Equinox;2008-09-22
Brumal Solstice;2008-12-21
Vernal Equinox;2009-03-20
Aestival Solstice;2009-06-21
Autumnal Equinox;2009-09-22
Brumal Solstice;2009-12-21
Vernal Equinox;2010-03-20
Aestival Solstice;2010-06-21
Autumnal Equinox;2010-09-23
Brumal Solstice;2010-12-21
Vernal Equinox;2011-03-20
Aestival Solstice;2011-06-21
Autumnal Equinox;2011-09-23
Brumal Solstice;2011-12-22
Vernal Equinox;2012-03-20
Aestival Solstice;2012-06-20
Autumnal Equinox;2012-09-22
Brumal Solstice;2012-12-21
Vernal Equinox;2013-03-20
Aestival Solstice;2013-06-21
Autumnal Equinox;2013-09-22
Brumal Solstice;2013-12-21
Vernal Equinox;2014-03-20
Aestival Solstice;2014-06-21
Autumnal Equinox;2014-09-23
Brumal Solstice;2014-12-21
Vernal Equinox;2015-03-20
Aestival Solstice;2015-06-21
Autumnal Equinox;2015-09-23
Brumal Solstice;2015-12-22
Vernal Equinox;2016-03-20
Aestival Solstice;2016-06-20
Autumnal Equinox;2016-09-22
Brumal Solstice;2016-12-21
Vernal Equinox;2017-03-20
Aestival Solstice;2017-06-21
Autumnal Equinox;2017-09-22
Brumal Solstice;2017-12-21
Vernal Equinox;2018-03-20
Aestival Solstice;2018-06-21
Autumnal Equinox;2018-09-23
Brumal Solstice;2018-12-21
Vernal Equinox;2019-03-20
Aestival Solstice;2019-06-21
Autumnal Equinox;2019-09-23
Brumal Solstice;2019-12-22
Vernal Equinox;2020-03-20
Aestival Solstice;2020-06-20
Autumnal Equinox;2020-09-22
Brumal Solstice;2020-12-21
Vernal Equinox;2021-03-20
Aestival Solstice;2021-06-21
Autumnal Equinox;2021-09-22
Brumal Solstice;2021-12-21
Vernal Equinox;2022-03-20
Aestival Solstice;2022-06-21
Autumnal Equinox;2022-09-23
Brumal Solstice;2022-12-21
Vernal Equinox;2023-03-20
Aestival Solstice;2023-06-21
Autumnal Equinox;2023-09-23
Brumal Solstice;2023-12-22
Vernal Equinox;2024-03-20
Aestival Solstice;2024-06-20
Autumnal Equinox;2024-09-22
Brumal Solstice;2024-12-21
Vernal Equinox;2025-03-20
Aestival Solstice;2025-06-21
Autumnal Equinox;2025-09-22
Brumal Solstice;2025-12-21
Vernal Equinox;2026-03-20
Aestival Solstice;2026-06-21
Autumnal Equinox;2026-09-23
Brumal Solstice;2026-12-21
Vernal Equinox;2027-03-20
Aestival Solstice;2027-06-21
Autumnal Equinox;2027-09-23
Brumal Solstice;2027-12-22
Vernal Equinox;2028-03-20
Aestival Solstice;2028-06-20
Autumnal Equinox;2028-09-22
Brumal Solstice;2028-12-21
Vernal Equinox;2029-03-20
Aestival Solstice;2029-06-21
Autumnal Equinox;2029-09-22
Brumal Solstice;2029-12-21
Vernal Equinox;2030-03-20
Aestival Solstice;2030-06-21
Autumnal Equinox;2030-09-22
Brumal Solstice;2030-12-21
Vernal Equinox;2031-03-20
Aestival Solstice;2031-06-21
Autumnal Equinox;2031-09-23
